rank,prev_rank,name,league,off,def,spi
627,622,Grimsby Town,English League Two,0.35,2.19,9.66
628,630,Carlisle United,English League Two,0.31,2.15,9.27
629,629,Walsall,English League Two,0.3,2.19,8.68
630,621,Tranmere Rovers,English League Two,0.26,2.13,8.55
631,633,Stevenage,English League Two,0.2,2.03,8.05
632,631,Morecambe,English League Two,0.34,2.46,7.72
633,634,Harrogate Town,English League Two,0.2,2.22,6.84
634,632,Southend United,English League Two,0.26,2.43,6.61
635,635,Loudoun United FC,United Soccer League,0.34,2.65,6.51
636,636,Scunthorpe,English League Two,0.27,2.49,6.47
637,637,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
